Grade,Sex,Sad_Or_Hopeless,count,mean
9,Female,0,1046,0.052581261950286805
9,Female,1,604,0.30629139072847683
9,Male,0,1338,0.03961136023916293
9,Male,1,404,0.2747524752475248
10,Female,0,1047,0.07449856733524356
10,Female,1,660,0.29545454545454547
10,Male,0,1334,0.04122938530734633
10,Male,1,361,0.29085872576177285
11,Female,0,1152,0.052083333333333336
11,Female,1,642,0.2834890965732087
11,Male,0,1271,0.043273013375295044
11,Male,1,351,0.27350427350427353
12,Female,0,1079,0.05097312326227989
12,Female,1,637,0.25274725274725274
12,Male,0,1322,0.0453857791225416
12,Male,1,418,0.2727272727272727
